Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng
20251,TDDT,161085,161085,EE2012Q,Kỹ thuật điện,2(2-1-0-4),[SIE]-ME-GU-K68S,1,Thu,0920-1145,4,6,Sáng,"2-9, 11-19",D5-401
20251,TDDT,161086,161086,EE3058Q,Cảm biến đo lường và xử lý tín hiệu đo,3(3-1-0-6),[SIE]-ME-NUT-K67C,1,Wed,1410-1730,3,6,Chiều,"2-9, 11-19",D5-401
20251,TDDT,161087,161087,EE3280Q,Lý thuyết điều khiển tự động I,3(3-1-0-6),[SIE]-ET-LUH-K67C,1,Mon,1230-1550,1,4,Chiều,"2-9, 11-19",C7-111
20251,TDDT,161088,161088,EE3359Q,Lý thuyết điều khiển tự động,3(3-1-0-6),[SIE]-ME-LUH-K68S,1,Mon,0825-1145,3,6,Sáng,"2-9, 11-19",D7-302
20251,TDDT,161089,161089,EE3359Q,Lý thuyết điều khiển tự động,3(3-1-0-6),[SIE]-ME-NUT-K68S,1,Mon,0825-1145,3,6,Sáng,"2-9, 11-19",D7-404
20251,TDDT,161090,161090,EE4220Q,Điều khiển logic và PLC,2(2-0-1-4),[SIE]-ME-NUT các khoáC,1,Fri,1600-1730,5,6,Chiều,"2-9, 11-19",D7-205
20251,TDDT,161091,161091,EE4829Q,Điều khiển nối mạng,2(2-1-0-4),[SIE]-ME-LUH-K67C,1,Tue,1505-1730,4,6,Chiều,"2-9, 11-19",C7-113
20251,TDDT,161093,161093,ET2030Q,Ngôn ngữ lập trình,3(3-0-1-6),[SIE]-ET-LUH-K69C,1,Fri,1230-1455,1,3,Chiều,"2-9, 11-19",D7-306
20251,TDDT,161094,161094,ET2030Q,Ngôn ngữ lập trình,3(3-0-1-6),[SIE]-ET-LUH-K69C,1,Fri,1230-1455,1,3,Chiều,"2-9, 11-19",D7-307
20251,TDDT,161095,161095,ET2040Q,Cấu kiện điện tử,3(3-0-1-6),[SIE]-ET-LUH-K69C,1,Thu,1230-1455,1,3,Chiều,"2-9, 11-19",D7-404
20251,TDDT,161096,161096,ET2050Q,Lý thuyết mạch,3(3-0-1-6),[SIE]-ET-LUH-K69C,1,Fri,1505-1730,4,6,Chiều,"2-9, 11-19",D7-306
20251,TDDT,161097,161097,ET2050Q,Lý thuyết mạch,3(3-0-1-6),[SIE]-ET-LUH-K69C,1,Fri,1505-1730,4,6,Chiều,"2-9, 11-19",D7-307
20251,TDDT,161098,161098,ET2060Q,Tín hiệu và hệ thống,3(3-1-0-6),[SIE]-ET-LUH-K69C,1,Mon,1230-1550,1,4,Chiều,"2-9, 11-19",D7-306
20251,TDDT,161099,161099,ET2060Q,Tín hiệu và hệ thống,3(3-1-0-6),[SIE]-ET-LUH-K69C,1,Mon,1230-1550,1,4,Chiều,"2-9, 11-19",D7-307
20251,TDDT,161100,161100,ET2070Q,Cơ sở truyền tin,2(2-0-1-4),[SIE]-ET-LUH-K68S,1,Mon,1015-1145,5,6,Sáng,"2-9, 11-19",C7-113
